true_sentiment,ticker,paraphrased_array
Positive,EURCHF,. failure to benefit from the ecbs'hawk of determination. bankbz..
Positive,EURCHF,. eusef trend higher may remain in place...
Neutral,EURCHF,. does a jump in eurchf point to a break above 108 in euccd in soc?.
Positive,EURCHF,. euref could extend its advance back to levels between 102 and 104. muf..
Positive,EURCHF,. eurchf to head higher towards 10130 and projections of 1024010300. soc..
Positive,EURCHF,. euruf room for the euro to extend the move higher. muf..
Neutral,EURCHF,..chf peaks its run higher at the 200 bar ma on the 4 hour chart and 38. 2 % retrace..
Positive,EURCHF,..xf reaches 38. 2 % of the 2 year range as run higher..
Negative,EURCHF,. eucf bias would be for stronger franc but waiting for clearer snb monetary policy stance. credit sui..
Negative,EURCHF,. new lows for the eurusd. eurf down as well and tests its 200 day ma..
Positive,EURCHF,. eurh is still continues to rise toward the 10500 area. muf..
Positive,EURCHF,. eusc continues to remain well supported amid widening ecbsnb policy gap convergence with ci..
Positive,EURCHF,..r has advantage to usd chf and gbp / td..
Negative,EURCHF,the.nb jordan : price stability does not happen automatically. eurchf lower on the day..
Positive,EURCHF,..xlive americas fx news wrap : bank of england and ecb raise rates by 50 basis..
Neutral,USDJPY,..jpy moves toward the 38. 2 % of the move up and bounce..
Positive,EURCHF,. modest chf weakness against the eur in the month ahead of hs..
Positive,EURCHF,. rate differentials moving in favour of the euro and risk rally should help eu eurof...
Negative,EURCHF,. euseow upper end less attractive as snb likely to remain alarmed for now. bankbz..
Neutral,USDJPY,..jpy trades within a key swing area between 1. 31297 to 1. 3156..
Negative,GBPUSD,. gbzd moves back toward falling 100 hour..
Positive,EURUSD,. new highs for the eurusd. what next?.
Neutral,EURCHF,. eustorow the lower end remains attractive to bankmerz..
Positive,USDJPY,..jpa extends higher. tests january high / swing area.
Neutral,AUDUSD,. both the nzdusd and the audusd stall at the 200 hour ma..
Neutral,AUDUSD,. audsd has high resistance..
Neutral,EURUSD,..rusd consolidates above and below 1000 hour ma into the close.
Positive,GBPUSD,..zt trades back above 100 hour ma. can it stay above and push above the 200 hour ma?.
Neutral,USDJPY,". video : the aftermath of the us cpi. what levels are in play for the eurusd, usdjpy & gbpus.."
Positive,USDJPY,. usdjpy prints new session..
Positive,GBPUSD,. gbzd appears to close above the 200 hour..
Neutral,EURUSD,..rusd settling between 100 / 200 hour ma after day extreme targets are tested.
Positive,EURUSD,..rusd now up on the day. above the close from yesterday at 1. 06..
Neutral,AUDUSD,) audsd price analysis bears and bulls about to stand off at key 060..
Neutral,AUDUSD,..a governor lowe's testimony high inflation is damaging and corrosive.
Negative,AUDUSD,..a the bankers speak up following this weeks disappointing labour market data.
Negative,AUDUSD,. audsd drops below 06900 as rba talks fail to win hawk. fed..
Neutral,USDJPY,. japan finance minister boj nominees selected with eye on price target..
Positive,USDJPY,. usdjpy picks up bids above 13400 as boz vs fed battle intensifies amid strong..
Negative,AUDUSD,. audsd price analysis bears take a breather on the way to 200dm..
Positive,USDJPY,..jpy syncs with ytd peak with r00 mark amid broad based usd..
Negative,AUDUSD,. audss drops to its lowest level since january at mid0680s with strong..
Positive,GBPUSD,. uk retail. jump 05 mom in january vs 03..
Neutral,GBPUSD,. gbpusd bears take a breather around single day low of n50 on upbeat uk retail..
Negative,GBPUSD,. gbpusd risks a probable drop to n00 u..
Negative,USDJPY,. usdj expected to slide toward 500 in three months. dansde..
Positive,GBPUSD,. gbpusd to break topside of 1185012450 range post a consolidation phase with credit sui..
Negative,AUDUSD,. audud further weakness remains in the pipeline. u..
Positive,USDJPY,. usdjp door open to extra support in the short term. uob.
Negative,EURUSD,..rus. falls to 6week lows near a30 dollar remains..
Negative,GBPUSD,. gbpusd slides below 200 dma support is vulnerable near its lowest level since..
Neutral,EURUSD,. eurusd to peak in q1 2024 rather than in q4 2023. bankmerz..
Negative,GBPUSD,. boe would like to end its rate hike cycle sooner rather than later. bankbz..
Neutral,EURUSD,. eurusd set to head lower but holding above parity with dans dans..
Negative,EURUSD,. eurusd signs of drifting lower but slowly. ocbc.
Positive,USDJPY,..jpy price analysis up to fresh ytd top is poised to appreciate..
Neutral,EURUSD,. ecbs villeroy need to aim to be more predictable with our..
Neutral,GBPUSD,the eus se vuovic good progress made in br euit talks.
Negative,EURUSD,. eurusd overshoot to support at 10460 cannot be excluded as a risk. scotia..
Negative,AUDUSD,. audusd price analysis remains heavily offered seems vulnerable below 50 % sm..
Negative,EURUSD,. eurusd price analysis further weakness could revisit 106..
Negative,GBPUSD,. gbpusd scope for a sizeable move lower to 112. scotia..
Negative,USDJPY,. eurusd to reach 114 usdj and to sink toward 121 by yearend. bnp paribas.
Positive,GBPUSD,. gbvd gains traction and gains 12000 as the gbp prepares for daily losses.
Positive,GBPUSD,. gbpusd back above swing. after low from last week...
Negative,AUDUSD,. audusd fluctuates around 06877 but ended the week with..
Positive,AUDUSD,. audu..s off swing to..
Negative,AUDUSD,. audsd pushes to the low floor after key to resistance held at session..
Positive,EURUSD,..rusd reaches to 100 hour ma..
Positive,EURUSD,. eurusd price analysis us dollars failure above 10420 dxy opens risk to 10720s.
Neutral,AUDUSD,. audud retraces back to unchanged on the day.
Positive,AUDUSD,. audsd advances towards 06900 despite renewed us inflation recovery..
Negative,USDJPY,..jpy price analysis bears on the look out for a break to 132..
Negative,GBPUSD,. rishi sunak forced to take pause in protocol..
Negative,GBPUSD,. gbpusd fades flash off sixweek low near 12030 as uk pmis fed to lo..
Neutral,EURUSD,. eurusd stays defensive around e00 ahead of eurozone pmis fed..
Negative,AUDUSD,. audusd price analysis shrinks towards x800 support..
Positive,USDJPY,..jpy prints mild gains above 13400 as sour sentiment fede joins firmer yields.
Positive,AUDUSD,..dsd refreshes day high above 06880 as pboc keeps lps..
Negative,EURUSD,. eurusd price analysis remains pressured towards 1063015 support..
Neutral,USDJPY,..s pm kishida is requesting a meeting of the united nations security council on north korean..
Negative,GBPUSD,. gbpusd price analysis slides towards 12000 as bears eye. battle with key d..
Neutral,AUDUSD,. us and taiwan may sign a bilateral trade agreement earlier than expected this year. report.
Negative,USDJPY,..j offers to buy jpy175 trillion worth of jgbs on monday.
Negative,USDJPY,. usdj will sell on to above rs0. citi bank.
Neutral,USDJPY,..jpy price analysis needs acceptance above 13500 for a fresh..
Neutral,EURUSD,. eurusd aims to recapture 10700 as risk appetite recovers fed minutes in..
Positive,AUDUSD,..dd. 06900 as usd index extends losses rba and fomc minutes the tlight.
Neutral,EURUSD,. eurusd diminishing bets for a move below 1067. u..
Neutral,GBPUSD,..td eyes 12050 as risk off impulse cools down further ahead of usuk pm..
Neutral,GBPUSD,. fx option expiries for feb 20 ny..
Negative,GBPUSD,. gbpusd further losses are below g000 uob.
Neutral,USDJPY,..jpy consolidates in a narrow range manages to holds above 13400..
Neutral,AUDUSD,. rba terminal cash rate of 41 by may 2017 an..
Negative,EURUSD,. eurusd hawkish set of fomc minutes required to see a break to 105 minutes..
Positive,AUDUSD,. auchd a deeper pullback is not favoured by u..
Neutral,EURUSD,. french finmin le maire inflation should ease off from the middle of this year.
Neutral,EURUSD,. eurusd meets some resistance just above 107..
Negative,AUDUSD,. audusd clings to intraday gains around 06900 mark lacks bullish..
Neutral,USDJPY,. boj's ama is appropriate to maintain current policy given underlying price..
Negative,USDJPY,. hints of a change to bojs and dovish monetary policy could see usdjpy cash up again...
Negative,EURUSD,. eurdd to fall back towards support from the 200dma at around 000. muf..
Neutral,USDJPY,. usdjpy faces some near term consolidation with u..
Neutral,GBPUSD,. gbpusd to be bounced around by the dollar trend...
Negative,GBPUSD,. gbzd deliverss modest intra day gains amid modest usd up. holds above 12000..
Neutral,EURUSD,..desbank german economic outlook somewhat brighter but high inflationary pressures..
Negative,EURUSD,. eurusd finds gold near the 200 hour ma..
Neutral,USDJPY,. usdjpy price analysis remains confined in a range around r00 bullish potential..
Neutral,EURUSD,. eurusd 106 can be expected to provide psychological support. rabo..
Negative,EURUSD,. euread price analysis another visit to the february low is not ruled..
Negative,USDJPY,..jpy corrects to ma support as traders take the pair higher..
Negative,GBPUSD,..pad finds sellers near the 100 hour ma. level will be a key barometer to start the week.
Neutral,EURUSD,..zone consumer confidence indicator improves to 19 in february as..
Negative,GBPUSD,. gbpusd potential for a return to 12450 is low. soc..
Positive,AUDUSD,. thedsd approaches a key low risk trading..
Positive,EURUSD,... rehn agreed to raise rates beyond..
Negative,EURUSD,. additional usda : fed funds futures market to start pricing in a 50 bps discount in march. soc..
Positive,AUDUSD,. idsd is firm at around p910s despite risk aversion and a soft..
Negative,GBPUSD,. gbzd oscilates in low volumes around fridays high but bears are..
Neutral,EURCHF,..nb vice chair martin schlegel : snb is still willing to be active in fx markets.
Neutral,EURUSD,. forex today slow start to the week.
Neutral,EURUSD,. eurusd is parked in an inside day range traders awaiting the next..
Neutral,USDJPY,).jpy hovers around 13430s as traders eye japanese and us pm. us housing data.
Negative,AUDUSD,..dsd.s towards 06900 to high aus - pmi data rba minutes..
Neutral,GBPUSD,. gbpad price analysis cls to 100 % above 12000 with eyes on uk pm..
Positive,EURUSD,. eurusd hawkish ecb talks upbeat eu data tease bulls near 10700 pmis in focus.
Neutral,USDJPY,. usdjpy price analysis whs support structure is near 13280.
Positive,AUDUSD,..a minutes the board agreed that additional rate hikes were likely in the coming..
Positive,AUDUSD,. idsd renews intra - high above 06900 on rba minutes us pmi in..
Positive,USDJPY,. bojs kuroda wage growth likely to..
Negative,GBPUSD,. gbpusd justifies monday's beari doji to drop towards 12000 ahead of ukus pm..
Negative,EURUSD,. eurusd price analysis bears approach 11weekold support line near 106..
Positive,USDJPY,..jpy tracks firmer yields to rise over 13400 despite hawkish boj talks mixed japan data.
Neutral,AUDUSD,. audud hoves near 06900 as rba hawks battle with us dollar bulls focus on pm..
Negative,GBPUSD,).pusd brexit woes us dollar rebound on full markets favor bears ahead of ukus pmi.
Negative,EURUSD,. eurusd drops to near 106k as riskoff impulse solidifies ahead of eurozone zew..
Neutral,AUDUSD,..dsd stabilizes below 0690 despite hawkish rba minutes and high - pm..
Neutral,USDJPY,..'s law the bojc invited ueda to testify before the upper house on feb..
Neutral,EURUSD,. eurusd downward momentum loses traction. u..
Neutral,USDJPY,. usdjpy price analysis ; bid above 13380 support..
Negative,GBPUSD,. gbpusd further weakness looks likely below g00 u..
Neutral,GBPUSD,. gbpad price analysis trades with modest losses holds above 12000 ahead of ukus pm..
Neutral,USDJPY,. fx option expiries for feb 21 ny..
Neutral,EURUSD,. the pmis for exchange rates might increase for now. bankbz..
Positive,EURUSD,. eurusd positive pmi surveys to propel euro back to the 1075010800 range...
Negative,EURUSD,. german preliminary production pmi - falls to 465 in february.
Negative,EURUSD,. eurusd appears as below the 10700 mark ahead of data.
Negative,EURUSD,..zone preliminary manufacturing pmi drops to 485 in february vs 493..
Negative,AUDUSD,. audusd remains heavily offered below 06900 mark with strong usd riskoff..
Positive,GBPUSD,.. preliminary services pmi returns to expansion with 533 in february.
Positive,USDJPY,..jpy cls to intra - gains eyes r00 mark amid modest usd..
Positive,EURUSD,. german zew economic sentiment index improves to 281 in february vs 220..
Neutral,GBPUSD,. gbpusd gains above 12100 mark on official uk pm days stronger usd caps..
Negative,GBPUSD,. gbp to remain under pressure as brexit issues remain in place. bankbz..
Neutral,USDJPY,. usdjpy faces extra consolidation in termite uob.
Negative,EURUSD,. eurusd downside pressure to build on a clear daily close under 1068. scotia..
Neutral,EURUSD,) eurusd price analysis extra consolidation appears in store near..
Neutral,EURUSD,. eurusd - 1062010720 range could hold the eucb..
Positive,GBPUSD,". the usd is mixed in early trading with the eurusd lower, the gbpusd higher.."
Positive,GBPUSD,. gbpusd set to reach the 121650 area. scotia..
Positive,AUDUSD,. aucid to test the validity of its current 068070 range on strong australian wages data. commerz..
Neutral,EURUSD,. lagarde speech not seeing wage price rise in eurozone.
Neutral,EURUSD,. eurusd back up testing the 200 hour..
Negative,USDJPY,..jpy s off after move above last week's high..
Negative,EURUSD,. eurusd gains traction and falls toward 10660s postus pmi ahead of fomc's..
Positive,GBPUSD,. gbpad price analysis bulls spring to life on back of bear..
Positive,USDJPY,).jpy bulls eye a continuation as the us dollar bounces back to life.
Negative,EURUSD,. forex today renewed inflationrelated to boost the us..
Negative,AUDUSD,..dusd sees more weakness below 06850 ahead of fom...
Negative,EURUSD,. eurusd price analysis dropss from 10650 amid assmal market..
Positive,GBPUSD,. gbpust bulls attack 12100 as the minutes loom brexit uk wager eyed as well.
Negative,USDJPY,) japan faces gloomy as global slowdown hurts reuters tank..
Negative,USDJPY,..jp pauses three day uptrend near r00 as yields show anxiety ahead of fed..
Negative,AUDUSD,. audusd price analysis further downside past 06850 hinges on monthly support line..
Positive,EURUSD,. eurusd bulls move in ahead of the fomc..
Positive,USDJPY,. bojs tamura it is appropriate to maintain monetary..
